region,n_points,mean_abs_err_x,mean_abs_err_y,mean_abs_err_z,ratio_x_to_global,ratio_y_to_global,ratio_z_to_global
front-side-underbody,81426249,0.19591345246052044,0.13935303800958582,0.12823763916105235,1.4561042104914756,1.5182892034016944,1.536743701828426
rear-side-underbody,78190509,0.1108204307843168,0.08833331497272898,0.07071567633051858,0.8236601103542932,0.9624154617608702,0.8474256928964672
rear-center-underbody,7287218,0.12904402709391294,0.08726666123756864,0.07853797749446359,0.9591048946885754,0.9507939795672016,0.9411647240119789
front-side-roof,980567,0.08865287750173283,0.08435980255015647,0.05769094911991363,0.6589023192701448,0.919122964539824,0.6913430666108024
mid-center-underbody,10084824,0.13814660012286778,0.08020271079160628,0.07507582002825483,1.0267587221685348,0.8738303205852461,0.899675745302283
front-center-body,5450796,0.11055638959371714,0.0762448952624878,0.08722784318307591,0.8216976545629899,0.8307088452823339,1.0453002684127821
mid-side-body,4331277,0.1608574092745194,0.07092102643070465,0.07962461051108599,1.1955542000393167,0.7727038481679752,0.954186458156633
front-center-underbody,6205175,0.15312192733786717,0.06886500261122773,0.0832272256624511,1.138061119923188,0.7503029101501489,0.9973586202471952
front-side-body,24369618,0.09461909830716263,0.06835222237903463,0.06874267052908872,0.7032455694472036,0.7447160302272078,0.8237820555146965
mid-side-roof,18236480,0.13826289950486606,0.06801561991061324,0.0646395000141886,1.0276231039538508,0.7410486548980284,0.77461145718216
rear-side-roof,10641433,0.12115232943574188,0.0618884593413958,0.05291581854580229,0.9004507591829789,0.6742915760956883,0.6341199932356129
rear-center-roof,6376143,0.12358581513590974,0.06125058017171392,0.04800874173290381,0.9185373618622884,0.6673417092665473,0.5753157339249788
rear-center-body,1809830,0.04199443414197138,0.055325519610267264,0.04348983381456666,0.3121188034989778,0.6027865649479368,0.5211631206354764
mid-center-body,111289,0.10286456379236043,0.05442119944898881,0.05052556216608043,0.7645290436531319,0.5929337511385019,0.6054762076721588
mid-side-underbody,2926590,0.11420178659826795,0.0454471171613657,0.04100640466819425,0.848791648674033,0.4951586868675723,0.4914027934445495
rear-side-body,24146794,0.06442754723204662,0.04440030933493179,0.04275340778029373,0.4788503373198749,0.48375343124048165,0.512338113582671
mid-center-roof,3410837,0.11804419124021098,0.03719653414730937,0.08121552824451521,0.8773498793992697,0.40526634371571757,0.9732513194794781
front-center-roof,1182204,0.05522203067418775,0.02733375222277082,0.027513901133670735,0.41043139389714883,0.2978086554914953,0.329714540571019
